白春礼调研“美丽中国专项”研究成果示范应用成效,1
2023年10月10-11日，中国科学院原院长白春礼院士在福建调研了中国科学院战略性先导科技专项“美丽中国生态文明建设科技工程”（简称美丽中国专项）项目10的研究进展及其成果示范应用成效，美丽中国专项首席、中国科学院地理科学与资源研究所所长葛全胜陪同调研。,0
根据美丽中国专项总体部署，项目10开发了福建省生态文明大数据平台及地理图景决策支持系统（包括福建省国土资源空间管控与优化决策系统、闽江流域水环境监管与水污染防治决策支持系统、武夷山国家公园生态保护决策支持系统），模拟了福建省生态文明建设地理图景，评估了福建省国土空间规划实施效果，实现了闽江流域水污染监测预警及武夷山国家公园生态红线实时管控。,0
研究成果已经在福建省多个业务厅局和试点市县开展了推广应用。,0
2021年3月，习近平总书记考察武夷山国家公园智慧管理中心时察看了集成该项目成果的武夷山国家公园智慧管理平台应用情况。,0
白春礼听取了项目10首席陆锋关于“生态文明建设地理图景模拟”研究进展和成果示范应用情况的汇报，实地考察了成果应用场景及成果在武夷山国家公园智慧管理平台业务化运行中的应用成效，与部分研究人员进行了座谈交流。  　　白春礼对项目10取得的成果及其示范应用效果给予了高度肯定，认为研究进展达到了预期，成果已融入到福建省多个厅局的业务工作之中、产生了实效，成果示范应用效果显著，有影响、用得上、留得下。他指出，美丽中国专项要以习近平生态文明思想为指导，通过多种方式做好美丽中国建设情景模拟成果在多尺度（国家和区域）上的示范应用，支撑服务各级政府生态文明建设重大战略需求，体现中国科学院作为国家战略科技力量的责任和担当。,0
他希望项目10把针对武夷山国家公园智慧管理研发的成果（数据算法、软件平台、标准规范等）及其应用情况打造成标准的示范模式，努力争取其它国家公园能够应用，为美丽中国专项打造亮点成果。,0
美丽中国专项特邀专家张小雷及项目10部分研究骨干参与了调研活动。,0
地理资源所2022年发表高水平国际期刊论文世界研究机构排名第一,1
地理资源所贾小旭同志光荣当选为中国科学院团委副书记,1
生态环境部自然生态保护司王志斌一行来地理资源所调研交流,1
9月18日，生态环境部自然生态保护司司长王志斌一行来地理资源所调研交流。,0
王志斌一行参观了所史馆，详细了解了我所基本情况和科研工作进展，介绍了当前国家自然生态保护工作情况及科技支撑方面的迫切需求；与所长、党委工作牵头人葛全胜等就双方进一步加强合作，共同为国家自然生态保护战略实施做出贡献进行了深入研讨。,0
王志斌指出，地理资源所科学积淀丰厚、人才济济，近年在美丽中国建设、生态系统观测和修复、应对气候变化等研究领域取得了丰硕成果，有力支撑了国家生态文明建设。,0
他希望，在生态环境部和中国科学院签订的“院部合作协议”精神指导下，围绕大尺度生态系统健康和风险动态评估、生态系统修复及碳汇提升技术研发等方面的工作，与地理资源所开展实质性合作。,0
葛全胜对王志斌一行来所调研交流表示欢迎，对生态环境部长期以来对我所科研工作的支持和信任表示感谢。,0
他指出，地理资源所作为国家战略科技力量，始终牢记“国家队”“国家人”的使命定位；我们将遵照中国科学院党组“四个率先”和“两加快一努力”的战略部署，对标生态环境部自然生态保护司的科技需求，组织优势队伍全力做好支撑服务工作，与自然生态保护司一起，共同为美丽中国建设做出新的更大贡献。,0
自然生态保护司副司长蔡蕾及该司生态保护红线监管处周海丽处长、徐延达副处长，所党委副书记王生林、副所长高星、所务委员廖晓勇及相关处室负责同志参加了调研交流。,0
国家“2023年度美丽中国建设评估”工作推进会举行,1
2023年9月1日，国家“2023年度美丽中国建设评估”工作推进会在北京举行。,0
中国科学院副院长张涛和科发局局长文亚、国家发展改革委环资司副司长刘琼出席了会议。,0
会议听取了“评估队”关于“2023年度美丽中国建设评估”工作计划执行情况、及目前实地调研和资料采集工作进展的汇报，就解决实地调研过程中（包括和有关部委对接）存在的问题和加快推进评估工作进行了研讨和部署。,0
刘琼代表国家发展改革委对中国科学院党组为完成好评估任务而开展的工作和提供的经费支持表示感谢。,0
他指出，国家发展改革委已在全国生态日上正式宣布启动国家“2023年度美丽中国建设评估”工作，鉴于这次评估是美丽中国建设第一次正式评估，中央高度重视，意义重大。,0
他表示，在2020年试评估基础上，本次评估的指标体系和技术方案更为优化和完善，但指标增多、数据采集的难度加大，国家发展改革委将全力协助评估队与有关部门进行对接和交流，推动评估工作顺利进行。,0
他相信，作为国家战略科技力量中国科学院，一定能够像“2020年试评估”一样高质量完成这次评估任务。  　　张涛代表中国科学院党组对国家发展改革委的支持和信任表示衷心感谢，对全体参与评估工作的同志表示亲切慰问。他指出，“美丽中国建设评估”工作是党中央赋予中国科学院光荣而神圣的任务，中国科学院党组和侯建国院长高度重视，委托我院资环领域的“领头羊”地理资源所代表中国科学院具体承担该项任务；为保障高质量完成评估工作，院党组建立了评估工作管理机制，特批一个应急项目给予支持，同时要求“美丽中国”先导专项和地理资源所配套支持。,0
他强调，在国家发展改革委等有关部委的支持下，中国科学院圆满完成了 “2020年美丽中国建设进程试评估”工作，评估成果得到了党中央的高度评价，为当前的评估工作积累了经验、打下了基础；但今年的评估指标更多、时间更紧、任务更重。,0
他要求，地理资源所要按照习近平总书记对中国科学院提出的“四个率先”和“两加快一努力”重要指示要求，恪守“国家队”“国家人”的使命定位，履行好法人主体责任，精心组织、统筹安排，确保评估工作顺利完成；各评估队要认真学习领会习近平总书记在全国生态环境保护大会上的讲话和“二十大”报告的精神，充分吸收“美丽中国”专项成果和“2020年试评估”成功经验，按时交出满意的答卷。,0
会上，文亚就中国科学院关于做好国家“2023年度美丽中国建设评估”工作的组织和经费保障安排及管理要求进行了说明。,0
中国科学院科发局副局长张鸿翔，科发局大气海洋与生态环境处任小波、赵涛，各省（市、区）评估队负责人参加了会议。,0
会议由美丽中国专项负责人、地理资源所所长葛全胜主持。,0
地理科学与资源研究所党委组织传达学习和部署落实中国科学院党组2023年夏季扩大会精神,1
8月31日，所党委召开理论中心组专题学习会和党委会，认真领会侯建国同志在院夏季党组扩大会议精神传达会上的讲话，与会人员围绕会议精神进行了认真研讨，重点对标习近平总书记关于科技创新的重要讲话、指示批示精神和党中央重大决策部署，对标我院抢占科技制高点的核心任务，对标加快实现“四个率先”和“两加快一努力”目标的总体思路和改革举措，开展交流和讨论，研究下一步具体举措。  　　会议认为，研究所作为资源环境领域国家战略科技力量“领头羊”，一是要凝练、找准资源环境领域科技制高点，把准方向，瞄准“美丽中国建设”、“盐碱地治理”等国家重大需求，组织力量谋划和实施攻坚专项任务，推进重大成果产出；二是统筹推进研究所改革创新发展重点工作，统筹高效使用经费，优化科技评价和资源配置，加大科技基础能力建设，持续培引青年人才，抓好全国重点实验室体建设；三是继续做好高端智库工作，围绕国家发展目标组织开展前瞻性、储备性决策咨询研究；四是对照主题教育“学思想、强党性、重实践、建新功”的总要求，强化思想武装，大力弘扬科学家精神，促进党建工作与科技创新中心工作深度融合，为抢占科技制高点提供坚强政治保证和强大精神动力。  　　党委工作牵头人、所长葛全胜就研究所下一步重点工作任务作出部署。,0
他要求，全所上下要深入学习贯彻习近平新时代中国特色社会主义思想，深入学习贯彻党的二十大精神，切实把思想和行动统一到党中央决策部署和院党组工作要求上来，结合研究所实际工作，紧紧围绕抢占科技制高点核心任务，聚焦资源环境领域国家战略需求和重大科学问题，把夏季党组扩大会议精神贯彻落实与研究所的规划布局和重大任务无缝结合起来，把主题教育成果转化为科技创新的实际行动，真正发挥好资源环境领域国家战略科技力量“领头羊”的作用，为全面实现“四个率先”和“两加快一努力”目标，加快实现高水平科技自立自强作出新的贡献。,0
根据所党委部署，各实验室、台站分别就学习贯彻院党组夏季扩大会精神开展了专题学习和研讨交流。,0
青年科技骨干、党员代表廖晓勇、苏奋振、汤秋鸿等纷纷表示，深刻认识到青年科技工作者肩负的时代使命，要认真贯彻院党组工作部署，从国家战略需求出发，勇攀科技高峰，坚定创新自信，下决心走出科研舒适区，勇闯科技“无人区”，为抢占科技制高点贡献力量。,0
各支部组织全体党员干部以“三会一课”等形式认真组织专题学习研讨，统一思想、凝聚共识、提高认识。,0
地理科学与资源研究所召开主题教育专题民主生活会,1
8月28日，地理科学与资源研究所召开学习贯彻习近平新时代中国特色社会主义思想主题教育专题民主生活会。,0
所长、党委工作牵头人葛全胜，党委副书记、纪委书记王生林，副所长高星，副所长封志明出席会议。,0
中国科学院第十巡回指导组组长李俊雄、组员李丹到会指导。,0
会前，所领导班子结合研究所工作实际，制定了本次民主生活会会议方案。,0
所领导班子成员通过集中学习和个人自学，深入学习领会习近平总书记关于党的建设重要思想以及关于严肃党内政治生活、主题教育和科技创新等的重要指示批示精神，提高思想认识；深入开展谈心谈话，听取意见建议。,0
在此基础上，按照主题教育要求的六个方面，对照习近平总书记关于以学铸魂、以学增智、以学正风、以学促干的12条具体要求，结合典型案例全面梳理和深入剖析问题。,0
葛全胜同志主持起草了领导班子对照检查材料，领导班子成员撰写了个人发言提纲并由葛全胜同志逐一审核把关。,0
会上，葛全胜报告了本次民主生活会准备情况，以及2022年度民主生活会查摆问题的整改落实情况，并代表所领导班子作了对照检查，立足研究所实际，围绕典型案例，深入分析存在的主要问题，剖析原因，制定整改举措。,0
所领导班子成员分别结合各自分管的工作进行对照检查，深入开展了批评和自我批评。,0
李俊雄作了点评发言。,0
他对本次专题民主生活会的准备工作和会议取得的成效给予了充分肯定。,0
